Management,1234,30,raju,4,0,4500
4500
0
Management,1234,30,raju,4,0,5100
Technical,123,10,raju,4,0,1700
Management,1234,30,raju,4,0,12900
Technical,123,10,raju,4,0,4300
Management,1234,30,raju,4,0,6900
Technical,123,10,raju,4,0,2300
11700
Technical,123,40,raju,4,0,1200
1200
Technical,123,40,raju,4,0,2000
2000
Management,1234,50,raju,4,0,8500
8500
Management,1234,40,raju,4,0,6000
Technical,123,30,raju,4,0,4500
10500
Management,1234,40,Rahul,1,0,6000
Technical,456,30,Rahul,1,0,2700
8700
Historical,234,200,Rahul,1,0,60000
60000
Historical,234,100,Rahul,1,0,30000
Technical,456,30,Rahul,1,0,2700
32700
